Name,Area,Type,Category,Distance_km,Rating,Reviews,Price_from_GHS,Price_source,Phone,Confirmed_Contact,Amenities,Colleges_nearby,Website,Latitude,Longitude,Google_Maps_URL,Image
Beta Hostel,Ayeduase,Hostel,Hostel,1.51,3.7,15,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6740626,-1.5579122,https://www.google.com/maps/search/?api=1&query=Beta%20Hostel&query_place_id=ChIJ9V59RYiU2w8Rcfr8znZTyyA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2Xtlt8WifuLH-6TEWRQ4ITcyR75FHWKcvIt66B2g6P0EVw-yC9FPHfVMwXsovHXp2TYkolYA3A1_6FR9kNLOws0eyyyzxNFJqSCOyQZPZju161gBFxypazKoQgH2PhfjFxGvGZw=w1920-h1080-k-no
Jesus Heights Hostel,Ayeduase,Hostel,Hostel,1.21,3.7,3,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6713836,-1.5610959,https://www.google.com/maps/search/?api=1&query=Jesus%20Heights%20Hostel&query_place_id=ChIJ10n6bgCV2w8RvGckFfylykQ,
R and B Hostel,Ayeduase,Hostel,Hostel,1.12,3.6,135,,,+233 20 534 5963,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6730003,-1.5615426,https://www.google.com/maps/search/?api=1&query=R%20and%20B%20Hostel&query_place_id=ChIJkZRw1mKU2w8R8N4ZHpZ8UvM,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqyqD6hYyVh0ODNeMMY-dZbAjE6CWHwWZ2ZtAjL724juaM6P8wXxd_eqyujOPNBpvHc_2Wlxs5scaX5z0VCt-WgoaZc_EFPRn3Qd7YKhjmfHb_dpBUskdY21OGfFn2u3-CHCi4=w1920-h1080-k-no
Afrane Hostel,Ayeduase,Hostel,Hostel,2.18,3.6,106,,,+233 20 501 2603,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6697906,-1.5524319,https://www.google.com/maps/search/?api=1&query=Afrane%20Hostel&query_place_id=ChIJD1CGqYWU2w8Ru2MRh10bWW8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBg0V8MxqmJ8PrdAkRh73-uWEKczDTBitPE_h1PpjlkgvkafoG09_UvrqD2gt_muwYpCc1eHiKhTkM1rNDocQ0ZKixl_obFNiXmoteWkgHK5HGM0GD1APQVsqOQdF8FYWDBtxnGg=w1920-h1080-k-no
Saab Hostel,Ayeduase,Hostel,Hostel,2.14,3.6,74,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6696467,-1.5528418,https://www.google.com/maps/search/?api=1&query=Saab%20Hostel&query_place_id=ChIJE0S4rYWU2w8RqmzoYn5OOhQ,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvxHzEZuS6UL4kX63Cfz9fpP-J0uugNC_CHakIBJHaHXZY9zXkzZAAgqts6MCHu4xaswqwDzK9nqygOmJsFd0DjunUAZrhU_eAFzdVuTzJxXTHzbIoJvF3CMGSZUpnyXHhNxg=w1920-h1080-k-no
B-Mark Hostel,Ayeduase,Hostel,Hostel,1.67,3.6,12,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6729649,-1.5565127,https://www.google.com/maps/search/?api=1&query=B-Mark%20Hostel&query_place_id=ChIJHaMySamV2w8RTZ9GO31j4W0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlmktVFX9yrQ-4asJo_LQ2PDO3IDv8o7JNB0uk-A2UV6vBy9e0BuHnAN2K-tF_W6o_q7_SYwTKZquqMdD00q42b55ZRw415KMoIXg2syKZ9jCjhe0Zg-Wit2QO-ddxCsssQvk=w1920-h1080-k-no
Samathel Hostel,Ayeduase,Hostel,Hostel,1.56,3.6,9,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6741675,-1.5574411,https://www.google.com/maps/search/?api=1&query=Samathel%20Hostel&query_place_id=ChIJNWQ5V4iU2w8RW5Tpzs2ehxA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLOrypmLBSy6VvjA2M01632xxl2dByhoCMXVahq-xYvE3ua7Gn5OJyVOzivWUdZk7odS6SNMl6zI3Fbqt3H6y69cEtehxiv0WlSBYkmGopWSQn_QdZvqWsPlEwMbRMPrbxg7s=w1920-h1080-k-no
BO Executive Hostel,Ayeduase,Hostel,Hostel,1.12,3.5,32,,,+233 24 267 8171,,Backup power | Study room,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6762072,-1.5616196,https://www.google.com/maps/search/?api=1&query=BO%20Executive%20Hostel&query_place_id=ChIJOedZNmKU2w8R2LLE2g0cGx4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGk_FqeGodWAkOZw6BOVbTPQgtW8025coaopgZUZz1XmGZudcuoKNjVVYSKs-YPyhPeT0AxDpJgk2FYkXh4GibuF4nxJx0GmMQnjaa5lAOT8DFxNHxfoMQCybplKX9q4qpoylY_sA=w1920-h1080-k-no
Millenium Hostel,Ayeduase,Hostel,Hostel,1.26,3.5,14,,,+233 24 471 3188,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6746447,-1.5602051,https://www.google.com/maps/search/?api=1&query=Millenium%20Hostel&query_place_id=ChIJhZHgh2KU2w8RmuR-QNMYpXU,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGsp1vCppBhRH-kM24-ldzJXKNS24xMd05uxI0eaB9p-YbHQkskfAlgcAiI6XV5WB2gEZuiGG-za13cxuNPMWSBMuQjt-3qoVTxpMtgDSUFzxlVR_19H1Y2-5EvNPBU02NTqK8=w1920-h1080-k-no
Newstar Hostel,Ayeduase,Hostel,Hostel,1.09,3.5,2,,,+233 53 691 7903,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6784278,-1.5626039,https://www.google.com/maps/search/?api=1&query=Newstar%20Hostel&query_place_id=ChIJK3UR4fCV2w8Ryll6d7_3Mtk,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGU5KtgM2aT8Rv6cQl-cW71vgH8-VcVdGxIBU2lMoO90I3XZvedh34xIbaujrdtQ_C1LGzqN_IxqVrVBdGPljA8SX2avLmd6PcVUJ0dBfcHaFUPYpuUV8HU1MTLtd4r0elpTtiLfg=w1920-h1080-k-no
FNF hostel,Ayeduase,Hostel,Hostel,2.37,3.4,215,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6736154,-1.550132,https://www.google.com/maps/search/?api=1&query=FNF%20hostel&query_place_id=ChIJQ-7z4I-U2w8R7jZ4cpbDV4k,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhlmLEs9l4tyx27slEat5BIvdhVK9-6tIYk4r6ioMO1M3IW2k3_zGF_fypVCl6mw9A8v3s51qgiK1tcIrCBYvm0Wrm_jejoXWnYq_rxW38rv0kD1flBjqlqImQL1vQTCs8dHjQ0JxGsak_=w1920-h1080-k-no
White House Hostel,Ayeduase,Hostel,Hostel,1.0,3.4,133,,,+233 24 314 0061,,Backup power | Kitchen | Parking | Security | Self-contained | TV,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://hostelgig.com/,6.6729628,-1.5627162,https://www.google.com/maps/search/?api=1&query=White%20House%20Hostel&query_place_id=ChIJeap-O2OU2w8R3CAbuoLpiQQ,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwvmi2tt6QODO6UbAr5RNkqHSWpE2rM67NIWtZ3wnD5zxvzFN5IjqRnDWcY9-jjepyf320e0T57Jk1_pdm1cVPKs0QRs1y7bRxnVQ1i6f_v1FUG_YKBbZcN9rTW-xWZur4og9PYviaFCqx=w1920-h1080-k-no
Pentagon Hostel,Ayeduase,Hostel,Hostel,0.99,3.4,57,,,+233 24 850 8062,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6737556,-1.5626945,https://www.google.com/maps/search/?api=1&query=Pentagon%20Hostel&query_place_id=ChIJmaK9EGOU2w8R4gJvAophkVY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGV8ZSguqmH7kSV-DbUVrYswhvbiOXVNQSksvXFU-WKquY9aUsm9QeSB6E6Yv0ony5VCNpV7BPhwMIyD6qFR5vCTgvcjQW1Ni_CmmQAj_CL4GVh7ZmRj1_8AJjpwZlJGEvsdpo=w1920-h1080-k-no
Osaah Hostel (Afia Saah),Ayeduase,Hostel,Hostel,2.3,3.4,5,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6674234,-1.5520061,https://www.google.com/maps/search/?api=1&query=Osaah%20Hostel%20(Afia%20Saah)&query_place_id=ChIJzZwZlnOV2w8RS2y3GqYC28I,
Wisdom Seekers Hostel,Ayeduase,Hostel,Hostel,1.75,3.3,28,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6732422,-1.5557803,https://www.google.com/maps/search/?api=1&query=Wisdom%20Seekers%20Hostel&query_place_id=ChIJw7CsjzOV2w8RD2I85vMojv4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7zbxvp_nZK8T0fTFpgfRmPrpHqb3jOYeaF833zTcuqwuhlDhxNzQrljbgTVv3eVI6jXPirDCYoAc6s-GIFBP1SD5nDCEdt-PYRS6-Ni74ACeRGTQ2fk9B2nuLWbQzueI_mtrZQQ=w1920-h1080-k-no
Dapamax Guest House,Ayeduase,Guest house & Hotel,Bed & breakfast,2.17,3.3,24,,,+233 59 148 5070,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6731137,-1.5519617,https://www.google.com/maps/search/?api=1&query=Dapamax%20Guest%20House&query_place_id=ChIJsZN1YyaV2w8RpXdSWc7Bvr0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJ9x75jlS_pz184QLIpZx9ueYVD9oem7Q9ih03pgSTZdEUEtUHVZYXfv5j9jJKjwaAhf4sbS4ci0S4obua1aQemjhM6LEGmLsbUjEfSxs5-8PfiokkclAvIF5WGmDpXWd7hc-I8avXIyc=w1920-h1080-k-no
King Of Kings Hostel,Ayeduase,Hostel,Lodging,1.88,3.3,11,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6782988,-1.5549735,https://www.google.com/maps/search/?api=1&query=King%20Of%20Kings%20Hostel&query_place_id=ChIJTSzv9ouU2w8RABE-dkx5AM4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGX210POgm47YOiQrKQ-0_R8-FctixsG71UCnsZLjoBQqCh60KSFHyW9lNgNOp1nTKoCD3pSdDRZDTL1cwMnvjK9tHc340EXysskzN7h1WyZT7cOZtkAx099WPxIIP4qsTLAxQ=w1920-h1080-k-no
2 Slot Hostel,Ayeduase,Hostel,Hostel,3.14,3.3,4,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6742638,-1.5431976,https://www.google.com/maps/search/?api=1&query=2%20Slot%20Hostel&query_place_id=ChIJ4Us5UACV2w8R2FS8sIWes5k,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWo3bkqZUY0SA9f6Cd4J_UobJDKhB7-wUg8VTJZvjqQESxjZZTb3gSMUHbmz5xhlXBlFV2WnSfSKC2R8A_fSGMag6vDKygJxDp8NGm5olqxi7By3qMc0cPn6nPkn13Ab7h9Bq-t7XyqpgI=w1920-h1080-k-no
Nana Adomah Hostel,Ayeduase,Hostel,Hostel,0.95,3.2,201,,,+233 53 985 4988,,Backup power | Kitchen | Parking | Self-contained | Study room | TV,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://hostelgig.com/,6.6726793,-1.5631983,https://www.google.com/maps/search/?api=1&query=Nana%20Adomah%20Hostel&query_place_id=ChIJi6a3N2OU2w8Rcd30bQjWO40,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbVW801MKLK-YKJ7wgxrRuVWplrkwwuapq1NQiesHh1Dkvm23m8XGfPqRRrtyTCIn3ePK5Ub8fVzEojgz3u17TmZrcemeyoERvtVkaa4c4BwmasGIB0uQk6E1-JBVs0e9ecuNU=w1920-h1080-k-no
Caesar's Palace Hostel,Ayeduase,Hostel,Hostel,2.18,3.2,145,2300,getrooms.co,+233 54 543 6504,,Kitchen | Study room | Water | Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.670604,-1.5522809,https://www.google.com/maps/search/?api=1&query=Caesar's%20Palace%20Hostel&query_place_id=ChIJ53OKCYWU2w8R8OoRmyq5wvs,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_jcORPlwnf9WJCNFQSTWcR_DTrDkY00gteEsyYlKbmvXPJWDnVu_pDalPYiOROdsV16a9oLnZL7nrbYELjbjOOSQ8CrHwwII7GSaYH_tcdFCX7a9S0dV6o2OmE6wG5VpTPb1f0z0JpiKy=w1920-h1080-k-no
Asabek Hostel,Ayeduase,Hostel,Hostel,1.52,3.2,54,,,+233 24 465 2294,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6744702,-1.5578187,https://www.google.com/maps/search/?api=1&query=Asabek%20Hostel&query_place_id=ChIJSSTY36WV2w8RPcNXzMnUHbU,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkIS40B5fH6O4D-vmZDACm12oNMuwLhWKkxZuq-8adZe22MK1Ir3heGz5aRsZVOfP6bHNxb76l9PBPm4yUkFSdUS9F8sUayDw9Sv_gWg_CBKsdNMsKQvWpStWl6BfyEfoYUrkS=w1920-h1080-k-no
Asabek Guest house,Ayeduase,Guest house & Hotel,Guest house,1.86,3,165,,,+233 24 465 2294,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6761016,-1.5548212,https://www.google.com/maps/search/?api=1&query=Asabek%20Guest%20house&query_place_id=ChIJ01ecSomU2w8R19bofMdDgec,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEk7FJq_Ztl9Rq9WfBkPMgMtzXgEGc3aoXa9sGXcd5Lvcgyi2P_kDOpAk39CrsvSlmAHHxvPRH5pYKv0AUrjLlyU2QulrDRFWvY-EtbhVsBPJUrZf8gnu7hfXDv8otdVgkNmfx9=w1920-h1080-k-no
A.Y's lounge,Ayeduase,Hostel,Hostel,1.3,3,2,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6748533,-1.5598307,https://www.google.com/maps/search/?api=1&query=A.Y's%20lounge&query_place_id=ChIJhat5tVWV2w8RNM4nuoQNfWc,
Beman Nkwan Homestel,Ayeduase,Hostel,Hostel,1.24,3,1,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6783848,-1.5610888,https://www.google.com/maps/search/?api=1&query=Beman%20Nkwan%20Homestel&query_place_id=ChIJlYO6uU2V2w8R6jfvPFQrIm4,
Grace Homestel,Ayeduase,Hostel,Hostel,1.1,3,1,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6764695,-1.5618196,https://www.google.com/maps/search/?api=1&query=Grace%20Homestel&query_place_id=ChIJK0LCyy-V2w8RByfdtisQvCQ,
Mena Hostel,Ayeduase,Hostel,Hostel,2.36,1,1,,,+233 24 462 1630,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://hostelgig.com/,6.6700771,-1.5506858,https://www.google.com/maps/search/?api=1&query=Mena%20Hostel&query_place_id=ChIJTRcXD1yV2w8RffSXq3gOLyE,
Manu Memorial Hostel,Ayeduase,Hostel,Hostel,0.92,1,1,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://hostelgig.com/,6.6755365,-1.5633312,https://www.google.com/maps/search/?api=1&query=Manu%20Memorial%20Hostel&query_place_id=ChIJueAAEPSV2w8RTQ3oKO2cHBw,
Knapsak Logde,Ayeduase,Hostel,Hostel,1.96,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6718867,-1.5540777,https://www.google.com/maps/search/?api=1&query=Knapsak%20Logde&query_place_id=ChIJ99bet0yV2w8Rw_fRh7zJ6zA,
T&GHostel,Ayeduase,Hostel,Hostel,2.27,,0,,,+233 24 799 4382,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6733796,-1.5510584,https://www.google.com/maps/search/?api=1&query=T%26GHostel&query_place_id=ChIJLV3rrviV2w8RZPfwrceksac,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDquNwA4ieu6vUuJ7m2V50qTBmsvJDCKYgir72VlqE6j-Cj4DgIKfMh_9rxHogZW-n4yry89YqA4qi1sI5NglKPoelSCjWmz03pwByODqLx8rMgA2c-U1RosvUpsMkc3RJ43qzAgi7Yz2c=w1920-h1080-k-no
Gyazbe homestel,Ayeduase,Hostel,Hostel,2.25,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6747198,-1.5511991,https://www.google.com/maps/search/?api=1&query=Gyazbe%20homestel&query_place_id=ChIJB1-1S9iV2w8RQ0VqTJCPfQA,
Kirakeisha HOSTEL,Ayeduase,Hostel,Hostel,2.59,,0,,,+233 54 819 5708,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6697086,-1.5486827,https://www.google.com/maps/search/?api=1&query=Kirakeisha%20HOSTEL&query_place_id=ChIJH9KCRumV2w8RgMcBA1mlAVs,
Wesley hostel,Ayeduase,Hostel,Hostel,1.97,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6699066,-1.5543745,https://www.google.com/maps/search/?api=1&query=Wesley%20hostel&query_place_id=ChIJOzXIQACV2w8Rwn5w6YHp__U,
Aunty Lydia,Ayeduase,Hostel,Hostel,1.88,,0,,,+233 59 991 1302,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.676361,-1.5546677,https://www.google.com/maps/search/?api=1&query=Aunty%20Lydia&query_place_id=ChIJVfo5VyiV2w8RGRiBv5GunxU,
Android Hostel,Ayeduase,Hostel,Hostel,2.32,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6716658,-1.5507552,https://www.google.com/maps/search/?api=1&query=Android%20Hostel&query_place_id=ChIJyVPAXVCV2w8R8RA_GrBTWpA,
TYB Hostel ( Theresa Yaa Bour Hostel ),Ayeduase,Hostel,Hostel,1.48,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6752555,-1.5582277,https://www.google.com/maps/search/?api=1&query=TYB%20Hostel%20(%20Theresa%20Yaa%20Bour%20Hostel%20)&query_place_id=ChIJa04GSACV2w8Ry_OMcfZQaIM,
Ankana HOSTEL,Ayeduase,Hostel,Hostel,1.07,,0,,,+233 55 777 2344,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),http://ankanarelanugh.com/,6.6759655,-1.5620535,https://www.google.com/maps/search/?api=1&query=Ankana%20HOSTEL&query_place_id=ChIJ6Sbe876V2w8RnA3JzYoTaKM,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEj-UdADc7EwhwX3LfQJghzztstcbW0CiSISmTGNqi5aFK9EbtfE4xjQsBCi539FBDZW-snoEJtCRV2Ic28KlyPrIRlwnvbXRJULwlgUpBKJA3IXsHaTyGNT6gnjbbPGXmfKDI=w1920-h1080-k-no
Green Hostel,Ayeduase,Hostel,Hostel,1.37,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6780327,-1.5596844,https://www.google.com/maps/search/?api=1&query=Green%20Hostel&query_place_id=ChIJzZiCHEiV2w8RqOpmbF9BIuA,
WAF Hostel,Ayeduase,Hostel,Hostel,0.96,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6733674,-1.562968,https://www.google.com/maps/search/?api=1&query=WAF%20Hostel&query_place_id=ChIJXaSvLOmV2w8Rp6fp6SJRMIk,
Asbed Hostel,Ayeduase,Hostel,Hostel,1.03,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6755179,-1.5623224,https://www.google.com/maps/search/?api=1&query=Asbed%20Hostel&query_place_id=ChIJY2OH3qKV2w8RtA00IYh4S8M,
Serene Heritage hostel,Ayeduase,Hostel,Hostel,0.88,,0,,,+233 24 215 3800,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6736674,-1.5637151,https://www.google.com/maps/search/?api=1&query=Serene%20Heritage%20hostel&query_place_id=ChIJR9QNbQCV2w8RDXldHWK47h4,
Success Hostel,Ayeduase,Hostel,Hostel,0.95,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6763736,-1.5632207,https://www.google.com/maps/search/?api=1&query=Success%20Hostel&query_place_id=ChIJP-ZRWwCV2w8Rs-kUxMs-HYg,
Ayeduase( my hostel,Ayeduase,Hostel,Hostel,1.05,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6778807,-1.5627071,https://www.google.com/maps/search/?api=1&query=Ayeduase(%20my%20hostel&query_place_id=ChIJJcGFbgCV2w8RMOTvdS3qxmY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGf7Bwi1hy0lWadTmi9_VlSkUgkFNIdxNDuAcF4-vU-6bUgDfXUQ2E1wkaozDkVhrThQlY6LvQl1CDK25h-1C9AyLTll3pqI4eoslZdaixuCej5nimYov5uiOrFUbzGGQydADqVo-bunGg=w1920-h1080-k-no
Diaspora Homestel,Ayeduase,Hostel,Hostel,0.96,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6776368,-1.563517,https://www.google.com/maps/search/?api=1&query=Diaspora%20Homestel&query_place_id=ChIJoxxmolyV2w8RPao_42NqlM8,
My Hostel 2026,Ayeduase,Hostel,Apartment building,0.98,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6755811,-1.5627687,https://www.google.com/maps/search/?api=1&query=My%20Hostel%202026&query_place_id=ChIJ_5UIXwCV2w8RN__GPpAhkPo,
Rich and Joel,Ayeduase,Hostel,Hostel,3.23,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6744538,-1.5423841,https://www.google.com/maps/search/?api=1&query=Rich%20and%20Joel&query_place_id=ChIJf7gJJgCV2w8RRW6C87-6LiY,
El-Kwab hostel,Ayeduase,Hostel,Hostel,1.54,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6741289,-1.5576888,https://www.google.com/maps/search/?api=1&query=El-Kwab%20hostel&query_place_id=ChIJg5gdGACV2w8RzCS-7jNUqYE,
School hostel Ayitey,Ayeduase,Hostel,Hostel,1.66,,0,,,,,,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),,6.6744309,-1.5566093,https://www.google.com/maps/search/?api=1&query=School%20hostel%20Ayitey&query_place_id=ChIJa9DncoqV2w8RhG5tSKRRKJM,
BKF Hostel,Ayigya,Hostel,Hostel,2.48,5,1,,,+233 54 989 6889,,,Science | Humanities & Social Sciences (KSB) | Health Sciences,,6.6967563,-1.5697947,https://www.google.com/maps/search/?api=1&query=BKF%20Hostel&query_place_id=ChIJKYJgNwiV2w8RX6EYH5ceIjw,https://lh3.googleusercontent.com/gps-cs-s/APNQkAES_EDfyCIMKGT-r6M_JnkWX1BG8LmSZ-sOPjRiV_Mm4yJQLaAXTveuLL8elQ-UQ4USlII2BBGFLCnLrmMYB5fnGTONSQqc7RYaE5FQbFt_eWUuGufDlOsfD64vtTdcYDQSWxVDV2UQW-12=w1920-h1080-k-no
Gaak Lodge,Ayigya,Guest house & Hotel,Bed & breakfast,2.27,5,1,,,,,,Science | Humanities & Social Sciences (KSB) | Health Sciences,,6.691902,-1.5822947,https://www.google.com/maps/search/?api=1&query=Gaak%20Lodge&query_place_id=ChIJP9PMJgCV2w8RQGr9JKWXJpY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiH-774xdcrI69xTSCBfo5nzI44RDXPFpWneHaEkecR5eQLAouu5v6E0txB47K0bYSrk02y9EeM2pooDGRVzT9zStJCow55AKfg1Gg16Vgbo02IYxtKNgL2eejFEvhWhZ9SlEtu_iV5tM1=w1920-h1080-k-no
NABS Lodge,Ayigya,Guest house & Hotel,Lodge,2.04,4.6,26,,,+233 54 725 9571,,,Science | Humanities & Social Sciences (KSB) | Health Sciences,,6.6903949,-1.5808497,https://www.google.com/maps/search/?api=1&query=NABS%20Lodge&query_place_id=ChIJEXHBUr6X2w8RfRnrY-fz8TA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAENEPlHuJSZOhKK0EBiQqjn3LoNKswv0LhdCYPviR-4j9dPfOqTzPYYO0GCSWwn-KQ2GvDnLou8L8Xs6xMN9dL3xYN5y6KekkK_mTa6KOdoADHXs3b6X4I7XXpTNVY5cWgvYs1nRw=w1920-h1080-k-no
Hotel De Semanhyia,Ayigya,Guest house & Hotel,Hotel,2.26,4.1,465,,,+233 32 249 6504,,Bar | Breakfast | Fitness center | Laundry service | Parking | Pool | Restaurant | Wi-Fi,Science | Humanities & Social Sciences (KSB) | Health Sciences,,6.6918358,-1.5823631,https://www.google.com/maps/search/?api=1&query=Hotel%20De%20Semanhyia&query_place_id=ChIJC6DlPDqU2w8R1oEJv-qzMXQ,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHP8j-kCzYe7JW71aopvG9w_BIIGlsebFL7l7mTY5HXbdRfMGipvtIvMi5Bhjuep6Z4yvktcwUXP7nTJZP-J76riFuvp-RWum8bWhhaxUkoMQDMK7ivKvowaOn_Q200V7XkowLt5Q=w1920-h1080-k-no
Gold Dust Hostel,Ayigya,Hostel,Hostel,2.3,4,95,,,,,,Science | Humanities & Social Sciences (KSB) | Health Sciences,,6.6949276,-1.5681493,https://www.google.com/maps/search/?api=1&query=Gold%20Dust%20Hostel&query_place_id=ChIJD7wheVCU2w8RFirtrfIaaRE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEVwvz6yB4qizbLBkqD_M3tztsn467pkH3pbWFQMD8zd6QkH0nnFrMYsDMiaZMhnd2XTGMiCBJ68GyzSf8FlDwEks2eLCGjKHqxnW6bL8X1InaHIcP5_WqTPLeJjHjsAnAu2KdIA=w1920-h1080-k-no
Riphil Hotel,Ayigya,Guest house & Hotel,Hostel,1.75,3.7,111,,,+233 24 729 5044,,,Science | Humanities & Social Sciences (KSB) | Health Sciences,,6.6900673,-1.5694476,https://www.google.com/maps/search/?api=1&query=Riphil%20Hotel&query_place_id=ChIJf2BjzUSU2w8Rc0xJDV9ls24,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlKxZAIaJI3NhOfYnOlS1LZwJkludWbzhjH2tVU5lE06j3n0VhI6NOJV5jAN9l8l3KnumqdEg441KfkeDF73n_p42ks3ifmgsDBZQvR1GIA3FgNmuAsUowjTYP9Xfj57jYF4Gf_A=w1920-h1080-k-no
Adams Hostel,Ayigya,Hostel,Hostel,2.18,3.6,16,,,,,,Science | Humanities & Social Sciences (KSB) | Health Sciences,,6.6941284,-1.5713819,https://www.google.com/maps/search/?api=1&query=Adams%20Hostel&query_place_id=ChIJGRUDObiV2w8Ri1er2CfVRjQ,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6nLZagRjc7Np2o9klKdAAkblEtBI8IauXmlPJNoj7FLIaZNlsRyGBlbOZIpJxjwvyMWxkc--Q6jd2CGGQyxTIsi9aQN_VuIUEOT81noUA1_P89oAHfQj0faETUPHgYCwj5KwS=w1920-h1080-k-no
